101(1)	0	1	1	1	1	4	1	1	0.59	6.56		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	73.0	79.4	79.4	168.8	155.0	115.4	97.4	28.8	26.7	17.2	7.2	10.1	5.5	1.7	5.5	47.1	47.1	47.1	33.7	33.7	33.7	30.6	0.0	9.3	0.0	0.0	2.08	0.2	166.8	0.28
101(2)	0	1	1	1	1	4	1	1	0.62	6.48		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	71.6	74.8	74.8	163.6	149.2	110.6	95.2	30.4	27.9	13.1	4.0	9.1	4.0	0.0	4.0	42.4	42.4	42.4	28.7	28.7	28.7	27.8	0.0	14.8	0.0	0.0	1.95	0.06	150.3	0.25
101(3)	0	1	1	1	1	4	1	1	0.64	6.81		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	72.7	78.4	78.4	167.3	153.0	113.4	94.4	25.6	26.7	16.7	6.5	10.3	5.1	1.3	5.1	46.7	46.7	46.7	33.0	33.0	33.0	30.7	0.0	10.1	0.0	0.0	2.14	0.15	161.7	0.27
101(4)	0	1	1	1	1	4	1	1	0.35	4.14		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	71.7	77.5	77.5	167.4	155.1	121.5	108.7	58.7	27.5	15.5	6.0	9.4	4.8	1.2	4.8	31.2	31.2	31.2	20.0	20.0	20.0	18.8	0.0	12.1	0.0	0.0	1.06	0.05	151.0	0.25
101(5)	0	1	1	1	1	4	1	1	0.35	3.87		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	66.4	71.3	71.3	161.0	147.8	113.4	105.4	55.3	33.1	15.0	5.7	9.3	4.9	0.8	4.9	30.5	30.5	30.5	18.9	18.9	18.9	17.8	0.0	18.1	0.0	0.0	1.02	0.04	144.4	0.24
101(6)	0	1	1	1	1	4	1	1	0.33	4.16		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	71.6	79.6	79.6	170.2	158.4	120.9	110.3	55.3	27.9	18.3	8.4	9.9	6.0	2.4	6.0	37.0	37.0	37.0	25.7	25.7	25.7	19.7	0.0	9.6	0.0	0.0	1.26	0.25	167.1	0.28
101(7)	0	1	1	1	1	4	1	1	0.34	4.04		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	67.8	74.3	74.3	164.6	152.2	116.3	108.2	55.0	31.9	16.8	7.2	9.7	5.4	1.7	5.4	34.4	34.4	34.4	23.0	23.0	23.0	19.6	0.0	15.1	0.0	0.0	1.14	0.14	157.7	0.26
100(1)	0	27	4	1	1	1	0	1	0.27	72.23		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0.9	-4.8	-1.0	-1.0	3.6	2.9	2.9	0.0	0.0	5.6	6.3	3.9	2.4	2.0	1.9	2.0	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	0.0	3.8	0.0	0.0	N.A.	N.A.	6.3	0.01
100(2)	0	27	4	1	1	1	0	1	0.00	11.80		0.0279937792	0	0	0.97	0	0	0	0	0	0	0	0	0	0	0			0.0	-26.1	-1.0	-1.0	13.3	13.2	2.9	0.0	0.0	26.1	37.7	25.1	12.6	12.6	12.6	12.6	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	0.0	2.7	0.0	0.0	N.A.	N.A.	37.7	0.06
99(1)	1	18	1	1	2	1	1	1	0.3	7.70		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0			100.0	92.0	94.0	94.0	188.0	183.0	173.0	16.0	59.0	7.2	7.2	2.3	4.9	1.6	0.7	1.6	4.8	4.8	4.8	0.4	-74.0	-73.0	-73.0	0.0	69.0	11.0	3.1	85	N.A.	-56.6	-0.09
